Land,Deutschlernende gesamt 2020 ,Gesamtzahl Schüler*innen im Gastland 2020,Schulen mit Fremdsprachenunterricht 2020 ,Schulen mit DaF 2020 ,Deutschlehrkräfte 2020 ,DaF-Lernende Schulbereich 2020 ,Zuwachs/ Rückgang der DaF-Lernenden im Schulbereich im Vergleich 2015 zu 2020,Hochschulen mit Deutsch allgemein 2020 ,Deutsch lernende Studierende 2020 ,Zuwachs/ Rückgang der Deutsch lernenden Studierenden im Vergleich 2015 zu 2020,Außerschulische/ außeruniversitäre DaF-Einrichtungen 2020 ,DaF-Lernende an außerschulischen/ außeruniversitären Einrichtungen 2020 ,DaF-Lernende an Goethe-Instituten 2020 ,Perspektive Schulbereich [Trend von 2015 zu 2020] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,10823,7000000,12000,8,22,10000,2223,3,823,123,0,0,0,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ägypten,405262,21199759,48042,2083,1952,371432,142012,36,18974,6896,34,5500,9356,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanien,40872,501902,k.A.,146,131,19142,,15,2230,,100,15000,4500,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algerien,48550,9270000,20300,4000,360,35000,17027,10,4000,1200,200,7000,2550,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,1,7757804,k.A.,0,0,k.A.,,0,0,,1,1,0,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentinien,31550,12536492,k.A.,65,470,20000,-5000,47,4100,800,30,2500,4950,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenien,39938,382525,1409,225,500,36955,7147,13,2363,492,1,620,0,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aserbaidschan,54473,1560606,4222,239,331,44879,28044,22,2294,1914,20,7300,0,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Äthiopien,1323,23342255,39231,3,12,275,9,2,59,23,0,0,989,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australien,100210,3893834,k.A.,570,916,95500,-5000,16,2500,-449,33,k.A.,2210,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesch,3686,35637087,175266,5,23,1380,692,8,500,75,1,220,1586,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,127995,1601006,3510,1860,2430,108000,-17000,48,18000,-326,1166,0,1995,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgien,85205,2053334,4170,707,800,72718,-37632,18,6850,-4870,72,4383,1254,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,57329,650564,700,700,505,55216,21216,3,1800,478,4,313,0,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivien,12202,2859592,k.A.,8,89,8652,495,2,172,-19,2,1410,1968,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnien-Herzegowina,159301,432983,2128,k.A.,840,155801,-112558,20,k.A.,,k.A.,k.A.,3500,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,,k.A.,k.A.,,k.A.,k.A.,0,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasilien,117301,48455867,101896,346,462,79976,435,59,11032,-1878,162,18543,7750,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarien,125150,717220,2370,575,1010,85481,-12477,32,25000,,40,12409,2260,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,92150,4518537,5861,2051,610,88640,48568,2,3300,1299,1,210,0,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
